time,sensor,data
21:36:23 2024-11-28,速度传感器,0
21:36:24 2024-11-28,速度传感器,0
21:36:25 2024-11-28,速度传感器,0
21:36:26 2024-11-28,速度传感器,0
21:36:27 2024-11-28,速度传感器,0
21:36:28 2024-11-28,速度传感器,0
21:36:29 2024-11-28,速度传感器,0
21:36:30 2024-11-28,速度传感器,0
21:36:31 2024-11-28,速度传感器,0
21:36:32 2024-11-28,速度传感器,0
21:36:33 2024-11-28,速度传感器,0
21:36:34 2024-11-28,速度传感器,0
21:36:35 2024-11-28,速度传感器,0
21:36:36 2024-11-28,速度传感器,0
21:36:37 2024-11-28,速度传感器,0
21:36:38 2024-11-28,速度传感器,0
21:36:39 2024-11-28,速度传感器,0
21:36:40 2024-11-28,速度传感器,0
21:36:41 2024-11-28,速度传感器,0
21:36:42 2024-11-28,速度传感器,0
21:36:43 2024-11-28,速度传感器,0
21:36:44 2024-11-28,速度传感器,0
21:36:45 2024-11-28,速度传感器,0
21:36:46 2024-11-28,速度传感器,0
21:36:47 2024-11-28,速度传感器,0
21:36:48 2024-11-28,速度传感器,0
21:36:49 2024-11-28,速度传感器,0
21:36:50 2024-11-28,速度传感器,0
21:36:51 2024-11-28,速度传感器,0
21:36:52 2024-11-28,速度传感器,0
21:36:53 2024-11-28,速度传感器,0
21:36:54 2024-11-28,速度传感器,0
21:36:55 2024-11-28,速度传感器,0
21:36:56 2024-11-28,速度传感器,0
21:36:57 2024-11-28,速度传感器,0
21:36:58 2024-11-28,速度传感器,0
21:36:59 2024-11-28,速度传感器,0
21:37:00 2024-11-28,速度传感器,0
21:37:01 2024-11-28,速度传感器,0
21:37:02 2024-11-28,速度传感器,0
,毫米波雷达,4.2
,油量传感器,64
,胎压传感器,2.9
21:37:03 2024-11-28,温度传感器,26.3
21:37:03 2024-11-28,湿度传感器,51.8
21:37:03 2024-11-28,烟雾浓度传感器,62.4
21:37:03 2024-11-28,分贝传感器,39.5
21:37:03 2024-11-28,酒精浓度传感器,1.9
21:37:03 2024-11-28,速度传感器,0
21:37:03 2024-11-28,分贝传感器,43.4
21:37:03 2024-11-28,酒精浓度传感器,0.2
21:37:03 2024-11-28,温度传感器,26
21:37:03 2024-11-28,湿度传感器,51.2
21:37:03 2024-11-28,烟雾浓度传感器,111.5
21:37:03 2024-11-28,毫米波雷达,9.3
21:37:03 2024-11-28,油量传感器,0.4
21:37:03 2024-11-28,胎压传感器,2.8
21:37:04 2024-11-28,速度传感器,0
21:37:04 2024-11-28,分贝传感器,41.1
21:37:04 2024-11-28,酒精浓度传感器,0.8
21:37:04 2024-11-28,温度传感器,26.2
21:37:04 2024-11-28,湿度传感器,54.5
21:37:04 2024-11-28,烟雾浓度传感器,72.7
21:37:04 2024-11-28,毫米波雷达,5.3
21:37:04 2024-11-28,油量传感器,78.3
21:37:04 2024-11-28,胎压传感器,3.3
21:37:05 2024-11-28,速度传感器,0
21:37:05 2024-11-28,分贝传感器,36.1
21:37:05 2024-11-28,酒精浓度传感器,0.4
21:37:05 2024-11-28,温度传感器,26.4
21:37:05 2024-11-28,湿度传感器,53.6
21:37:05 2024-11-28,烟雾浓度传感器,60.9
21:37:05 2024-11-28,毫米波雷达,8.1
21:37:05 2024-11-28,油量传感器,67.6
21:37:05 2024-11-28,胎压传感器,2.6
21:37:06 2024-11-28,速度传感器,0
21:37:06 2024-11-28,分贝传感器,66.2
21:37:06 2024-11-28,酒精浓度传感器,0
21:37:06 2024-11-28,温度传感器,26.3
21:37:06 2024-11-28,湿度传感器,59.3
21:37:06 2024-11-28,烟雾浓度传感器,74
21:37:06 2024-11-28,毫米波雷达,6.4
21:37:06 2024-11-28,油量传感器,36.6
21:37:06 2024-11-28,胎压传感器,2.1
21:37:07 2024-11-28,速度传感器,0
21:37:07 2024-11-28,分贝传感器,31.8
21:37:07 2024-11-28,酒精浓度传感器,1.3
21:37:07 2024-11-28,温度传感器,26.6
21:37:07 2024-11-28,湿度传感器,44.9
21:37:07 2024-11-28,烟雾浓度传感器,81.1
21:37:07 2024-11-28,毫米波雷达,0.7
21:37:07 2024-11-28,油量传感器,65.5
21:37:07 2024-11-28,胎压传感器,2.2
21:37:08 2024-11-28,速度传感器,0
21:37:08 2024-11-28,分贝传感器,68.5
21:37:08 2024-11-28,酒精浓度传感器,1.9
21:37:08 2024-11-28,温度传感器,26.4
21:37:08 2024-11-28,湿度传感器,40.8
21:37:08 2024-11-28,烟雾浓度传感器,83.3
21:37:08 2024-11-28,毫米波雷达,9.5
21:37:08 2024-11-28,油量传感器,35.7
21:37:08 2024-11-28,胎压传感器,2.5
21:37:09 2024-11-28,速度传感器,0
21:37:09 2024-11-28,分贝传感器,54.7
21:37:09 2024-11-28,酒精浓度传感器,0.7
21:37:09 2024-11-28,温度传感器,26.9
21:37:09 2024-11-28,湿度传感器,55.5
21:37:09 2024-11-28,烟雾浓度传感器,25.9
21:37:09 2024-11-28,毫米波雷达,9.5
21:37:09 2024-11-28,油量传感器,69.5
21:37:09 2024-11-28,胎压传感器,2.7
21:37:10 2024-11-28,速度传感器,0
21:37:10 2024-11-28,分贝传感器,57.2
21:37:10 2024-11-28,酒精浓度传感器,1.9
21:37:10 2024-11-28,温度传感器,26.3
21:37:10 2024-11-28,湿度传感器,42.1
21:37:10 2024-11-28,烟雾浓度传感器,34.2
21:37:10 2024-11-28,毫米波雷达,1.9
21:37:10 2024-11-28,油量传感器,82.9
21:37:10 2024-11-28,胎压传感器,2.6
21:37:11 2024-11-28,速度传感器,0
21:37:11 2024-11-28,分贝传感器,56.3
21:37:11 2024-11-28,酒精浓度传感器,1.5
21:37:11 2024-11-28,温度传感器,26.5
21:37:11 2024-11-28,湿度传感器,40.5
21:37:11 2024-11-28,烟雾浓度传感器,87.5
21:37:11 2024-11-28,毫米波雷达,8.4
21:37:11 2024-11-28,油量传感器,42.4
21:37:11 2024-11-28,胎压传感器,2.6
21:37:12 2024-11-28,速度传感器,0
21:37:12 2024-11-28,分贝传感器,39.3
21:37:12 2024-11-28,酒精浓度传感器,1.3
21:37:12 2024-11-28,温度传感器,26
21:37:12 2024-11-28,湿度传感器,56.3
21:37:12 2024-11-28,烟雾浓度传感器,59.4
21:37:12 2024-11-28,毫米波雷达,7.6
21:37:12 2024-11-28,油量传感器,23.8
21:37:12 2024-11-28,胎压传感器,2.8
21:37:13 2024-11-28,速度传感器,0
21:37:13 2024-11-28,分贝传感器,55
21:37:13 2024-11-28,酒精浓度传感器,0.6
21:37:13 2024-11-28,温度传感器,26.2
21:37:13 2024-11-28,湿度传感器,50.9
21:37:13 2024-11-28,烟雾浓度传感器,16.2
21:37:13 2024-11-28,毫米波雷达,4.5
21:37:13 2024-11-28,油量传感器,85.5
21:37:13 2024-11-28,胎压传感器,3.2
21:37:14 2024-11-28,速度传感器,0
21:37:14 2024-11-28,分贝传感器,56.7
21:37:14 2024-11-28,酒精浓度传感器,1.1
21:37:14 2024-11-28,温度传感器,26.6
21:37:14 2024-11-28,湿度传感器,58.5
21:37:14 2024-11-28,烟雾浓度传感器,118.4
21:37:14 2024-11-28,毫米波雷达,5.3
21:37:14 2024-11-28,油量传感器,52.4
21:37:14 2024-11-28,胎压传感器,2.9
21:37:15 2024-11-28,速度传感器,0
21:37:15 2024-11-28,分贝传感器,54.5
21:37:15 2024-11-28,酒精浓度传感器,0.2
21:37:15 2024-11-28,温度传感器,26.2
21:37:15 2024-11-28,湿度传感器,43.1
21:37:15 2024-11-28,烟雾浓度传感器,99.7
21:37:15 2024-11-28,毫米波雷达,9.8
21:37:15 2024-11-28,油量传感器,48.3
21:37:15 2024-11-28,胎压传感器,2.7
21:37:16 2024-11-28,速度传感器,0
21:37:16 2024-11-28,分贝传感器,59.9
21:37:16 2024-11-28,酒精浓度传感器,1.6
21:37:16 2024-11-28,温度传感器,26.1
21:37:16 2024-11-28,湿度传感器,43.7
21:37:16 2024-11-28,烟雾浓度传感器,110.1
21:37:16 2024-11-28,毫米波雷达,3.7
21:37:16 2024-11-28,油量传感器,61.7
21:37:16 2024-11-28,胎压传感器,2.6
21:37:17 2024-11-28,速度传感器,0
21:37:17 2024-11-28,分贝传感器,44.7
21:37:17 2024-11-28,酒精浓度传感器,0.2
21:37:17 2024-11-28,温度传感器,26.1
21:37:17 2024-11-28,湿度传感器,46.6
21:37:17 2024-11-28,烟雾浓度传感器,60.3
21:37:17 2024-11-28,毫米波雷达,4
21:37:17 2024-11-28,油量传感器,72.1
21:37:17 2024-11-28,胎压传感器,2.9
21:37:18 2024-11-28,速度传感器,0
21:37:18 2024-11-28,分贝传感器,62.6
21:37:18 2024-11-28,酒精浓度传感器,1.8
21:37:18 2024-11-28,温度传感器,26.4
21:37:18 2024-11-28,湿度传感器,46.5
21:37:18 2024-11-28,烟雾浓度传感器,56.5
21:37:18 2024-11-28,毫米波雷达,4.3
21:37:18 2024-11-28,油量传感器,65.1
21:37:18 2024-11-28,胎压传感器,2.5
21:37:19 2024-11-28,速度传感器,0
21:37:19 2024-11-28,分贝传感器,31.7
21:37:19 2024-11-28,酒精浓度传感器,1.9
21:37:19 2024-11-28,温度传感器,26.5
21:37:19 2024-11-28,湿度传感器,57.8
21:37:19 2024-11-28,烟雾浓度传感器,44.9
21:37:19 2024-11-28,毫米波雷达,4.4
21:37:19 2024-11-28,油量传感器,63.1
21:37:19 2024-11-28,胎压传感器,2.3
21:37:20 2024-11-28,速度传感器,0
21:37:20 2024-11-28,分贝传感器,35.2
21:37:20 2024-11-28,酒精浓度传感器,1.1
21:37:20 2024-11-28,温度传感器,26.6
21:37:20 2024-11-28,湿度传感器,53.1
21:37:20 2024-11-28,烟雾浓度传感器,77
21:37:20 2024-11-28,毫米波雷达,6.2
21:37:20 2024-11-28,油量传感器,66.2
21:37:20 2024-11-28,胎压传感器,3
21:37:21 2024-11-28,速度传感器,0
21:37:21 2024-11-28,分贝传感器,43.7
21:37:21 2024-11-28,酒精浓度传感器,0.7
21:37:21 2024-11-28,温度传感器,26.9
21:37:21 2024-11-28,湿度传感器,42.3
21:37:21 2024-11-28,烟雾浓度传感器,10.7
21:37:21 2024-11-28,毫米波雷达,5.4
21:37:21 2024-11-28,油量传感器,22
21:37:21 2024-11-28,胎压传感器,2.3
21:37:22 2024-11-28,速度传感器,0
21:37:22 2024-11-28,分贝传感器,62
21:37:22 2024-11-28,酒精浓度传感器,0.2
21:37:22 2024-11-28,温度传感器,26.5
21:37:22 2024-11-28,湿度传感器,45.6
21:37:22 2024-11-28,烟雾浓度传感器,32.2
21:37:22 2024-11-28,毫米波雷达,1.6
21:37:22 2024-11-28,油量传感器,58.4
21:37:22 2024-11-28,胎压传感器,2.7
21:37:23 2024-11-28,速度传感器,0
21:37:23 2024-11-28,分贝传感器,32.2
21:37:23 2024-11-28,酒精浓度传感器,0.4
21:37:23 2024-11-28,温度传感器,26
21:37:23 2024-11-28,湿度传感器,53.6
21:37:23 2024-11-28,烟雾浓度传感器,102.6
21:37:23 2024-11-28,毫米波雷达,5.1
21:37:23 2024-11-28,油量传感器,42.9
21:37:23 2024-11-28,胎压传感器,2.8
21:37:24 2024-11-28,速度传感器,0
21:37:24 2024-11-28,分贝传感器,40.1
21:37:24 2024-11-28,酒精浓度传感器,0.5
21:37:24 2024-11-28,温度传感器,26.3
21:37:24 2024-11-28,湿度传感器,54.9
21:37:24 2024-11-28,烟雾浓度传感器,81
21:37:24 2024-11-28,毫米波雷达,5.3
21:37:24 2024-11-28,油量传感器,28.4
21:37:24 2024-11-28,胎压传感器,3.4
21:37:25 2024-11-28,速度传感器,0
21:37:25 2024-11-28,分贝传感器,43.7
21:37:25 2024-11-28,酒精浓度传感器,0.5
21:37:25 2024-11-28,温度传感器,26.1
21:37:25 2024-11-28,湿度传感器,52.1
21:37:25 2024-11-28,烟雾浓度传感器,106.2
21:37:25 2024-11-28,毫米波雷达,8.4
21:37:25 2024-11-28,油量传感器,7.1
21:37:25 2024-11-28,胎压传感器,2
21:37:26 2024-11-28,速度传感器,0
21:37:26 2024-11-28,分贝传感器,42.1
21:37:26 2024-11-28,酒精浓度传感器,1.3
21:37:26 2024-11-28,温度传感器,26.7
21:37:26 2024-11-28,湿度传感器,44
21:37:26 2024-11-28,烟雾浓度传感器,100.5
21:37:26 2024-11-28,毫米波雷达,9.8
21:37:26 2024-11-28,油量传感器,13
21:37:26 2024-11-28,胎压传感器,2.6
21:37:27 2024-11-28,速度传感器,0
21:37:27 2024-11-28,分贝传感器,31.8
21:37:27 2024-11-28,酒精浓度传感器,1.1
21:37:27 2024-11-28,温度传感器,26.7
21:37:27 2024-11-28,湿度传感器,48.5
21:37:27 2024-11-28,烟雾浓度传感器,12.4
21:37:27 2024-11-28,毫米波雷达,2.6
21:37:27 2024-11-28,油量传感器,79.5
21:37:27 2024-11-28,胎压传感器,3.1
21:37:28 2024-11-28,速度传感器,0
21:37:28 2024-11-28,分贝传感器,30.5
21:37:28 2024-11-28,酒精浓度传感器,1.3
21:37:28 2024-11-28,温度传感器,26.8
21:37:28 2024-11-28,湿度传感器,55.3
21:37:28 2024-11-28,烟雾浓度传感器,115.6
21:37:28 2024-11-28,毫米波雷达,7.6
21:37:28 2024-11-28,油量传感器,44.4
21:37:28 2024-11-28,胎压传感器,2.9
21:37:29 2024-11-28,速度传感器,0
21:37:29 2024-11-28,分贝传感器,46.2
21:37:29 2024-11-28,酒精浓度传感器,1.9
21:37:29 2024-11-28,温度传感器,26.6
21:37:29 2024-11-28,湿度传感器,54.2
21:37:29 2024-11-28,烟雾浓度传感器,48.9
21:37:29 2024-11-28,毫米波雷达,5.1
21:37:29 2024-11-28,油量传感器,62.6
21:37:29 2024-11-28,胎压传感器,2.2
21:37:30 2024-11-28,速度传感器,0
21:37:30 2024-11-28,分贝传感器,46.4
21:37:30 2024-11-28,酒精浓度传感器,0.1
21:37:30 2024-11-28,温度传感器,26.1
21:37:30 2024-11-28,湿度传感器,46
21:37:30 2024-11-28,烟雾浓度传感器,61.7
21:37:30 2024-11-28,毫米波雷达,6.9
21:37:30 2024-11-28,油量传感器,16.5
21:37:30 2024-11-28,胎压传感器,2.2
21:37:31 2024-11-28,速度传感器,0
21:37:31 2024-11-28,分贝传感器,61.9
21:37:31 2024-11-28,酒精浓度传感器,1.3
21:37:31 2024-11-28,温度传感器,26.4
21:37:31 2024-11-28,湿度传感器,53.1
21:37:31 2024-11-28,烟雾浓度传感器,53.9
21:37:31 2024-11-28,毫米波雷达,4.1
21:37:31 2024-11-28,油量传感器,28.1
21:37:31 2024-11-28,胎压传感器,3.4
21:37:32 2024-11-28,速度传感器,0
21:37:32 2024-11-28,分贝传感器,32.6
21:37:32 2024-11-28,酒精浓度传感器,0.9
21:37:32 2024-11-28,温度传感器,26
21:37:32 2024-11-28,湿度传感器,53.1
21:37:32 2024-11-28,烟雾浓度传感器,63.1
21:37:32 2024-11-28,毫米波雷达,8.2
21:37:32 2024-11-28,油量传感器,90.6
21:37:32 2024-11-28,胎压传感器,3
21:37:33 2024-11-28,速度传感器,0
21:37:33 2024-11-28,分贝传感器,50.8
21:37:33 2024-11-28,酒精浓度传感器,0.1
21:37:33 2024-11-28,温度传感器,26.7
21:37:33 2024-11-28,湿度传感器,45.1
21:37:33 2024-11-28,烟雾浓度传感器,101
21:37:33 2024-11-28,毫米波雷达,3.7
21:37:33 2024-11-28,油量传感器,23.5
21:37:33 2024-11-28,胎压传感器,2.8
21:37:34 2024-11-28,速度传感器,0
21:37:34 2024-11-28,分贝传感器,63.9
21:37:34 2024-11-28,酒精浓度传感器,1.2
21:37:34 2024-11-28,温度传感器,26.9
21:37:34 2024-11-28,湿度传感器,45.6
21:37:34 2024-11-28,烟雾浓度传感器,34.2
21:37:34 2024-11-28,毫米波雷达,0.7
21:37:34 2024-11-28,油量传感器,79.8
21:37:34 2024-11-28,胎压传感器,3.2
21:37:35 2024-11-28,速度传感器,0
21:37:35 2024-11-28,分贝传感器,38.1
21:37:35 2024-11-28,酒精浓度传感器,0.1
21:37:35 2024-11-28,温度传感器,26.4
21:37:35 2024-11-28,湿度传感器,41.4
21:37:35 2024-11-28,烟雾浓度传感器,90.5
21:37:35 2024-11-28,毫米波雷达,0.6
21:37:35 2024-11-28,油量传感器,23.3
21:37:35 2024-11-28,胎压传感器,2.8
21:37:36 2024-11-28,速度传感器,0
21:37:36 2024-11-28,分贝传感器,57.7
21:37:36 2024-11-28,酒精浓度传感器,1.8
21:37:36 2024-11-28,温度传感器,26.4
21:37:36 2024-11-28,湿度传感器,57.9
21:37:36 2024-11-28,烟雾浓度传感器,59.1
21:37:36 2024-11-28,毫米波雷达,8.6
21:37:36 2024-11-28,油量传感器,17
21:37:36 2024-11-28,胎压传感器,3
21:37:37 2024-11-28,速度传感器,0
21:37:37 2024-11-28,分贝传感器,58.1
21:37:37 2024-11-28,酒精浓度传感器,1.4
21:37:37 2024-11-28,温度传感器,26.6
21:37:37 2024-11-28,湿度传感器,56
21:37:37 2024-11-28,烟雾浓度传感器,43.8
21:37:37 2024-11-28,毫米波雷达,2.5
21:37:37 2024-11-28,油量传感器,19.3
21:37:37 2024-11-28,胎压传感器,3.3
21:37:38 2024-11-28,速度传感器,0
21:37:38 2024-11-28,分贝传感器,54.2
21:37:38 2024-11-28,酒精浓度传感器,1.8
21:37:38 2024-11-28,温度传感器,26
21:37:38 2024-11-28,湿度传感器,55.5
21:37:38 2024-11-28,烟雾浓度传感器,100
21:37:38 2024-11-28,毫米波雷达,3.3
21:37:38 2024-11-28,油量传感器,19.4
21:37:38 2024-11-28,胎压传感器,2.6
21:37:39 2024-11-28,速度传感器,0
21:37:39 2024-11-28,分贝传感器,49.2
21:37:39 2024-11-28,酒精浓度传感器,0.1
21:37:39 2024-11-28,温度传感器,26.7
21:37:39 2024-11-28,湿度传感器,53.6
21:37:39 2024-11-28,烟雾浓度传感器,24.1
21:37:39 2024-11-28,毫米波雷达,1
21:37:39 2024-11-28,油量传感器,14.7
21:37:39 2024-11-28,胎压传感器,2.5
21:37:40 2024-11-28,速度传感器,0
21:37:40 2024-11-28,分贝传感器,45.2
21:37:40 2024-11-28,酒精浓度传感器,0
21:37:40 2024-11-28,温度传感器,26.1
21:37:40 2024-11-28,湿度传感器,59.7
21:37:40 2024-11-28,烟雾浓度传感器,79.5
21:37:40 2024-11-28,毫米波雷达,1.7
21:37:40 2024-11-28,油量传感器,42.6
21:37:40 2024-11-28,胎压传感器,2.1
21:37:41 2024-11-28,速度传感器,0
21:37:41 2024-11-28,分贝传感器,53
21:37:41 2024-11-28,酒精浓度传感器,1.6
21:37:41 2024-11-28,温度传感器,26.5
21:37:41 2024-11-28,湿度传感器,53.1
21:37:41 2024-11-28,烟雾浓度传感器,57.6
21:37:41 2024-11-28,毫米波雷达,6.4
21:37:41 2024-11-28,油量传感器,29.6
21:37:41 2024-11-28,胎压传感器,2.3
21:37:42 2024-11-28,速度传感器,0
21:37:42 2024-11-28,分贝传感器,62.2
21:37:42 2024-11-28,酒精浓度传感器,1.2
21:37:42 2024-11-28,温度传感器,26.9
21:37:42 2024-11-28,湿度传感器,44.1
21:37:42 2024-11-28,烟雾浓度传感器,114.7
21:37:42 2024-11-28,毫米波雷达,9.8
21:37:42 2024-11-28,油量传感器,22.4
21:37:42 2024-11-28,胎压传感器,2.5
21:37:43 2024-11-28,速度传感器,0
21:37:43 2024-11-28,分贝传感器,65.2
21:37:43 2024-11-28,酒精浓度传感器,1
21:37:43 2024-11-28,温度传感器,26.5
21:37:43 2024-11-28,湿度传感器,44.3
21:37:43 2024-11-28,烟雾浓度传感器,71.3
21:37:43 2024-11-28,毫米波雷达,7.5
21:37:43 2024-11-28,油量传感器,82.6
21:37:43 2024-11-28,胎压传感器,2.9
21:37:44 2024-11-28,速度传感器,0
21:37:44 2024-11-28,分贝传感器,52.5
21:37:44 2024-11-28,酒精浓度传感器,0.3
21:37:44 2024-11-28,温度传感器,26.2
21:37:44 2024-11-28,湿度传感器,53.8
21:37:44 2024-11-28,烟雾浓度传感器,17.8
21:37:44 2024-11-28,毫米波雷达,7.2
21:37:44 2024-11-28,油量传感器,64.5
21:37:44 2024-11-28,胎压传感器,3.3
21:37:45 2024-11-28,速度传感器,0
21:37:45 2024-11-28,分贝传感器,67.3
21:37:45 2024-11-28,酒精浓度传感器,1.5
21:37:45 2024-11-28,温度传感器,26.2
21:37:45 2024-11-28,湿度传感器,42.2
21:37:45 2024-11-28,烟雾浓度传感器,118.2
21:37:45 2024-11-28,毫米波雷达,8.6
21:37:45 2024-11-28,油量传感器,82.5
21:37:45 2024-11-28,胎压传感器,2.1
21:37:46 2024-11-28,速度传感器,0
21:37:46 2024-11-28,分贝传感器,58.7
21:37:46 2024-11-28,酒精浓度传感器,0.2
21:37:46 2024-11-28,温度传感器,26.4
21:37:46 2024-11-28,湿度传感器,45.3
21:37:46 2024-11-28,烟雾浓度传感器,50.7
21:37:46 2024-11-28,毫米波雷达,7.7
21:37:46 2024-11-28,油量传感器,67.9
21:37:46 2024-11-28,胎压传感器,2.2
21:37:47 2024-11-28,速度传感器,0
21:37:47 2024-11-28,分贝传感器,58.2
21:37:47 2024-11-28,酒精浓度传感器,0.3
21:37:47 2024-11-28,温度传感器,26.8
21:37:47 2024-11-28,湿度传感器,57
21:37:47 2024-11-28,烟雾浓度传感器,75.9
21:37:47 2024-11-28,毫米波雷达,3.3
21:37:47 2024-11-28,油量传感器,48.7
21:37:47 2024-11-28,胎压传感器,3.1
21:37:48 2024-11-28,速度传感器,0
21:37:48 2024-11-28,分贝传感器,32.3
21:37:48 2024-11-28,酒精浓度传感器,0.4
21:37:48 2024-11-28,温度传感器,26
21:37:48 2024-11-28,湿度传感器,56.3
21:37:48 2024-11-28,烟雾浓度传感器,63.2
21:37:48 2024-11-28,毫米波雷达,4.5
21:37:48 2024-11-28,油量传感器,32.3
21:37:48 2024-11-28,胎压传感器,2.9
21:37:49 2024-11-28,速度传感器,0
21:37:49 2024-11-28,分贝传感器,52.5
21:37:49 2024-11-28,酒精浓度传感器,0
21:37:49 2024-11-28,温度传感器,26.1
21:37:49 2024-11-28,湿度传感器,45.9
21:37:49 2024-11-28,烟雾浓度传感器,14.9
21:37:49 2024-11-28,毫米波雷达,4.4
21:37:49 2024-11-28,油量传感器,37.4
21:37:49 2024-11-28,胎压传感器,2
21:37:50 2024-11-28,速度传感器,0
21:37:50 2024-11-28,分贝传感器,63.7
